,BusinessName,X,Y,FullAddress,City,ZipCode,Neighborhood,Latitude,Longitude
2689,KOWALSKIS PARKVIEW MARKET,-93.2623270140517,44.900879755070704,5615 CHICAGO AVE,Minneapolis,55417.0,Diamond Lake,44.90088,-93.26233
23720,NAWABI HYDERABAD HOUSE,-93.2662708382363,44.9802506799137,250 2ND AVE S #240,Minneapolis,55401.0,Downtown West,44.98025,-93.26626999999999
19857,HOLIDAY STATIONSTORE #69,-93.28133905574292,45.003404871802395,2322 WASHINGTON AVE N,Minneapolis,55411.0,Hawthorne,45.0034,-93.28134
37745,UPTOWN THEATRE,-93.29867093973058,44.9490645392944,2906 HENNEPIN AVE,Minneapolis,55408.0,East Isles,44.949059999999996,-93.29867
31683,STARBUCKS #23000,-93.23593461970042,44.9814926587153,425 14TH AVE SE,Minneapolis,55414.0,Marcy Holmes,44.98149,-93.23593000000001
37338,SUBWAY #25722,-93.274658994644,44.9755225059761,50 9TH ST S,Minneapolis,55402.0,Downtown West,44.97552,-93.27466
13808,THE MELTING POT RESTAURANT,-93.2726683396524,44.9748161921398,80 9TH ST S,Minneapolis,55402.0,Downtown West,44.97482,-93.27266999999999
361,ANGEL FOOD,-93.2726683396524,44.9748161921398,86 9TH ST S,Minneapolis,55402.0,Downtown West,44.97482,-93.27266999999999
5235,CEDAR CULTURAL CENTER,-93.24759851602941,44.9693797803089,416 CEDAR AVE S,Minneapolis,55454.0,Cedar Riverside,44.96938,-93.2476
18638,SELECT COMFORT,-93.27027704412909,44.9714630366828,1001 3RD AVE S,Minneapolis,55404.0,Downtown West,44.97146,-93.27028
20554,HILTON GARDEN INN,-93.2698432970857,44.97008988025971,1101 4TH AVE S,Minneapolis,55404.0,Downtown West,44.97009,-93.26984
15246,HOMEGROWN FOODS,-93.3274010118609,44.9121827348891,3717 50TH ST W,Minneapolis,55410.0,Fulton,44.91218,-93.3274
10640,EL POLLO DE LOS SANTOS,-93.24930458473891,44.948652882938006,1700 LAKE ST E,Minneapolis,55407.0,East Phillips,44.94865,-93.2493
4725,AUGUSTANA  APARTMENTS,-93.25861510522921,44.96763137218411,1510 11TH AVE S,Minneapolis,55404.0,Elliot Park,44.967620000000004,-93.2586
34866,FIREROAST CAFE,-93.2195052506208,44.9340620310995,3800 37TH AVE S,Minneapolis,55406.0,Howe,44.934059999999995,-93.21951
13166,THE SIMPLE SANDWICH,-93.26685017523769,44.9781654989936,215 4TH ST S,Minneapolis,55401.0,Downtown West,44.97817,-93.26685
44547,ALOFT HOTEL MINNEAPOLIS,-93.2550154184434,44.9765864216966,900 WASHINGTON AVE S,Minneapolis,55415.0,Downtown East,44.97659,-93.25502
39763,BUNKER'S,-93.27875593936359,44.988541020800106,761 WASHINGTON AVE N,Minneapolis,55401.0,North Loop,44.98854,-93.27875999999999
35084,FLOATING WORLD CAFE,-93.2334069078146,44.9481120301363,2629 LAKE ST E,Minneapolis,55406.0,Longfellow,44.94811,-93.23340999999999
45965,GATEWAY CAFE BY D'AMICO & SONS,-93.2330501472894,44.9753770751709,200 OAK ST SE,Minneapolis,55455.0,University of Minnesota,44.97538,-93.23305
18083,HALWO KISMAYO GRILL,-93.2521119727153,44.94888307774261,2941 BLOOMINGTON AVE,Minneapolis,55407.0,East Phillips,44.948879999999996,-93.25211
43712,VOLSTEAD'S EMPORIUM,-93.28881678398321,44.948115841000394,711 LAKE ST W #B,Minneapolis,55408.0,South Uptown,44.94812,-93.28882
31117,RAISING CANES CHICKEN FINGERS,-93.2260293147791,44.97405332669379,825 WASHINGTON AVE SE,Minneapolis,55414.0,Prospect Park - East River Road,44.97405,-93.22603000000001
13457,MINNEAPOLIS ARMORY,-93.26353382877069,44.9751671548795,500 6TH ST S,Minneapolis,55415.0,Elliot Park,44.97517,-93.26353
22946,SWEET GYPSY WAFFLE,-93.2809494743705,45.0097098620815,208 29TH AVE N,Minneapolis,55411.0,Hawthorne,45.00971,-93.28095
4962,CARIBOU COFFEE #144,-93.2998435178575,44.9486527793069,1450 LAKE ST W,Minneapolis,55408.0,East Isles,44.94865,-93.29984
40234,D'AMICO & SONS,-93.2705981190796,44.9781688490693,555 NICOLLET MALL #TRACT D,Minneapolis,55402.0,Downtown West,44.97817,-93.2706
18600,HENNEPIN THEATRE TRUST,-93.27743026405778,44.9765404750639,900 HENNEPIN AVE,Minneapolis,55403.0,Downtown West,44.97654,-93.27743000000001
37454,SUNSHINE,-93.27060719386058,44.943030015172795,3300 4TH AVE S,Minneapolis,55408.0,Central,44.94303,-93.27060999999999
16988,KAAH COFFEE,-93.23639637621442,44.9624852582565,2429 FRANKLIN AVE E,Minneapolis,55406.0,Seward,44.96249,-93.2364
48621,TACO JOHNS,-93.26996594047822,44.9768659827524,601 MARQUETTE AVE #208,Minneapolis,55402.0,Downtown West,44.976859999999995,-93.26995
28681,COCOA & FIG,-93.2713748420001,44.9771861297786,651 NICOLLET MALL #243,Minneapolis,55402.0,Downtown West,44.97719,-93.27136999999999
19594,VARSITY THEATRE,-93.2369212806995,44.980567249688995,1308 4TH ST SE,Minneapolis,55414.0,Marcy Holmes,44.98057,-93.23692
22912,ELECTRIC NOODLE,-93.2225617989177,44.919893804717795,4563 34TH AVE S,Minneapolis,55406.0,Ericsson,44.91989,-93.22256
